original,gentle,playful,bold,id,scenario
Great choice!,"Great choice! You clearly have excellent taste... in everything, I'm guessing","Great choice! Though between you and me, the second best choice today was me coming over to talk to you",Great choice! Now make another one and give me your number,flirt_0001,shared activity
Is this seat taken?,Is this seat taken? I promise I'm good company,"Is this seat taken, or were you saving it for someone devastatingly charming? Because here I am!",This seat's about to be taken... by me. Hope you don't mind the best view in the place,flirt_0002,day activity
Nice weather today,"Beautiful day, isn't it? Though I have to say, you're the brightest thing I've seen all morning","Nice weather, right? Or did you just bring the sunshine with you?",Forget the weather - you're the only forecast I'm interested in,flirt_0003,spontaneous meeting
What are you reading?,That book looks fascinating... though not as fascinating as the person reading it,Good book? Because I'm writing a story in my head where we get coffee after this,"That book looks interesting, but I'd rather read you... over dinner perhaps?",flirt_0004,public place
Long line today,"Long line, but at least it gave me time to work up the courage to talk to you",This line is taking forever... good thing I have a beautiful view to pass the time,"This line is long, but I'd wait twice as long if it means talking to you",flirt_0005,outdoor setting
They make the best coffee here,They do make great coffee... almost as good as the company right now,"Best coffee in town, second best thing about being here right now","Great coffee, but I'm more interested in getting your number than my caffeine fix",flirt_0006,relaxed atmosphere
What's good here?,"Everything's good, but the view just got better since you walked in","Well, the coffee's great, but you're definitely the sweetest thing here",You tell me - are you on the menu?,flirt_0007,intimate setting
Excuse me,"Excuse me, I just had to come tell you how radiant you look","Excuse me, is your name Google? Because you're everything I've been searching for","Excuse me, but I think you dropped something... my jaw",flirt_0008,cultural venue
Can I get your WiFi password?,"Can I get the WiFi password? And maybe yours too, if I'm lucky",WiFi password? How about we connect in real life instead,Forget WiFi - I want a direct connection to you,flirt_0009,shared activity
This place is packed,"It's so crowded, but somehow you're the only person I noticed",So packed! Good thing there's still room for two hearts to connect,Packed in here... want to go somewhere we can have some privacy?,flirt_0010,cultural venue
Do you come here often?,I don't usually see anyone who catches my eye like this... do you come here often?,"Do you come here often? Because if you say yes, I'm getting a membership immediately",Do you come here often? Because I'm about to start coming here every day at this exact time,flirt_0011,relaxed atmosphere
Great workout!,Great workout! You make it look so effortless and graceful,"Great workout! I was going to work out too, but watching you was way more interesting",Great workout! Want to grab a protein shake? Or skip straight to dinner?,flirt_0012,night scene
