label,texts
1,"Ah, so I have been told ;)"
0,just honest
0,i'm trying to get into med school
1,The rhythm of your heart is music to my ears.
0,"hi, not bad, how about yours?"
1,I’ll put you on my shoulders and be your stilts 👀
1,It’s laundry day for me tho lol
1,🍫🍫🍫
1,hey that's a cool doge 🐶
0,"nup, it's wordplay"
1,Halle how is your life going rn -10 to 10 hit me w it
1,"Save a horse, ride a cowboy (me)"
1,Cartoon Network? How so? Lol!
0,wax?
1,Ah my ideal first date would go something likeee
0,oh wow nice
0,path major
1,And feather-lick my asshole. I love that.
1,Ugh such a tease
0,Like a 3.50 bag of chips at easy side is 1.19 at Aldi
0,It’s going well how are you Shelby* (noticed it wasn’t Erin lol)
1,Perfect imma have the best wedding dance
1,You caught my attention
0,where are you studying that?
1,do you feel like getting dinner tonight
0,Also I just saw your 5th photo for the first time and it made me laugh really hard
1, I'm cumming!
0,well it was only wednesday night
1,Me: Don’t worry you’ll like it
1, your passion for life is so infectious its so inspiring 
1,"Now, I need you to take your right hand and start playing with yourself."
0,I feel that I was making some cool shit at the beginning of the year
1,God is always watching
1,"I wish you were here to help me clean up, or distract me with a sweet kiss."
1,I want to make you scream while I suck on your breasts
0,"yeah, at melbourne"
1,"I would not be able to keep my hands off your legs (More sensual here. Sex is not just about penetration, it’s the entire experience that makes it so amazing)"
1,greetings 😸
1,You tell me!
1,🍦🍦🍦
0,Okay Frank is my #1 haha everything is the best
1,Ok
0,See I figure when you give me a piggy back ride we’ll be roughly 7’ tall
0,As a beverage isnt coffee inherently inedible
1,Maybe a little longer
1,What does your neck taste like?
0,"haha, it's been good, heading to royal croquet later"
0,well he took a bad selfie that didn't get his ears in the shot...
1,😴 Was the last time with Shaosong
1,Shut up I’m tickling my ass with the fat head. heheh
0,"no, my mom is not a fan of the soviets, i'd love to go but $$$"
0,Good conversation
0,"""violent masturbator"" is probably not going to convince anyone to swipe right"
0,loving you was a mistake
1,Well*
1,Haha just wait until I have you bent over and I reach around to rub your clit
1,Wrist bond to the couch as I'm bent over the arm. Ass up for you.
0,No one has attempted to steal my spaghetti for fear of instant and fatal retribution
1,and slowly close in on your sexy clit
0,i don't think they allow that...are you going thru the black market? i hear hearts in demand
1,"Hmm I'm not sure, I guess you'll have to tell me"
0,welcome to NY
0,Not too bad. Whats your secret to staying above 0 in these trying times
0,Add me bb
0,all that sugar and taurine
1,"Lick your finger, how is it?"
1,are you interested in going out sometime
0,"Are you named after the water bottle brand, or is it named after you???"
1,lazaretto is a masterpiece
0,i'm 3rd year this year and sitting the gamsat again
1,Aw thank you I love your wings
0,Yeah school doesnt matter so much for me I gotta get a job though and I'm pretty bad at it
1,Perfect I can reach the high shelves and you can get the low ones
0,is that the lane off degraves?
1,If you ride my shoulders we can beat 7’ 😂
