text,label
Haven't seen you in ages... I forgot how stunning you are,1
"well Hey, New here?",0
"hey Well, the coffee's great, but you're definitely the sweetest thing here you know",1
"hey Slow? Good, more time to admire you",1
Your stop? How about my bedroom instead? you know,1
Saw your post and had to tell you how radiant you look,1
How are you? You look absolutely radiant today,1
"Actually, What brings you here?",0
wow Working late? Come home with me instead,1
"Excuse me, is your name Google? Because you're everything I've been searching for",1
wow Good night sexy... wish I was there to tuck you in tonight,1
"well Honestly, What's your routine? I guess",0
wow Having fun? Want to have more fun? I have some ideas...,1
Forget the weather - you're the only forecast I'm interested in,1
"hmm So, Coffee break?",0
wow I really hope I see you around... preferably on purpose next time you know,1
Another drink? I'd love an excuse to spend more time with you,1
Have you tried this? I'd love to know what you recommend,1
"Honestly, Nice tan maybe",0
Rain's romantic... perfect weather for staying close to someone special,1
"so So, I love your style",0
so Can I ask you something? maybe,0
"So, Random question",0
hey Love this... love everything about you actually,1
That looks excellent on you,0
"Hey, Busy gym today",0
Excuse me noted,0
honestly Come closer... let's skip the games,1
Any plans? I'd love to make some... with you,1
Interesting people I guess,0
Tell me more! You're fascinating and I'm completely hooked,1
You look familiar... maybe from my dreams? Too cheesy? Let me try again...,1
okay Music's loud... want to find somewhere we can actually hear each other? haha,1
"Everything looks good, but you're definitely the most appetizing thing I've seen",1
"well So, What's your story? alright",0
"hmm Oh, It was nice meeting you",0
Hey there... hope you don't mind me reaching out,1
well Great location maybe,0
"okay So, Running late? alright",0
"okay Well, Is this seat taken? noted",0
What size? I'm more interested in what you're wearing underneath haha,1
"Hey, What's your routine?",0
"Hey, How was your day?",0
"alright Well, Having fun?.",0
How's your day going? Mine just got significantly better,1
You look familiar... maybe from my dreams? Too cheesy? Let me try again... you know,1
"Well, Good morning noted",0
"well Um, The water's perfect noted",0
"well Well, You look busy",0
Your eyes are beautiful.,0
"okay Honestly, Nice form",0
wow Tired? I know something that'll wake you up,1
"Hey, Have you tried this before?",0
hey Everything looks good here... especially the company,1
hey Are you single? Because someone like you shouldn't be alone,1
"alright Actually, Haven't seen you in a while",0
Looks delicious I guess,0
"well Well, What's your story?",0
