review,label
One of the best movies I have ever watched,1
Highly recommended movie for everyone,1
This movie was amazing and the acting was fantastic,1
Completely waste of time,0
Absolutely loved the cinematography and direction,1
I really loved this film it was wonderful,1
One of the best movies I have ever watched,1
I regret watching this movie,0
This film was truly inspiring and enjoyable,1
This movie was amazing and the acting was fantastic,1
Great storyline and brilliant performances,1
Completely waste of time,0
Awful movie with no good scenes,0
This film was truly inspiring and enjoyable,1
I really loved this film it was wonderful,1
I really loved this film it was wonderful,1
Terrible acting and bad screenplay,0
I really loved this film it was wonderful,1
This film was truly inspiring and enjoyable,1
Awful movie with no good scenes,0
I really loved this film it was wonderful,1
Very slow and uninteresting film,0
I regret watching this movie,0
Terrible acting and bad screenplay,0
Awful movie with no good scenes,0
Terrible acting and bad screenplay,0
I regret watching this movie,0
Worst movie I have ever watched,0
One of the best movies I have ever watched,1
Absolutely loved the cinematography and direction,1
Completely waste of time,0
The storyline was weak and acting was bad,0
Great storyline and brilliant performances,1
This movie was terrible and boring,0
Awful movie with no good scenes,0
Great storyline and brilliant performances,1
I really loved this film it was wonderful,1
Very slow and uninteresting film,0
This movie was terrible and boring,0
I really loved this film it was wonderful,1
The movie had poor direction and editing,0
One of the best movies I have ever watched,1
Worst movie I have ever watched,0
Highly recommended movie for everyone,1
Completely waste of time,0
I really loved this film it was wonderful,1
Highly recommended movie for everyone,1
I really loved this film it was wonderful,1
Great storyline and brilliant performances,1
I really loved this film it was wonderful,1
Terrible acting and bad screenplay,0
Very slow and uninteresting film,0
The storyline was weak and acting was bad,0
Very slow and uninteresting film,0
This film was truly inspiring and enjoyable,1
Very slow and uninteresting film,0
This movie was amazing and the acting was fantastic,1
A masterpiece with great acting and music,1
Great storyline and brilliant performances,1
This movie was amazing and the acting was fantastic,1
The movie had poor direction and editing,0
This movie was terrible and boring,0
One of the best movies I have ever watched,1
The characters were very engaging and emotional,1
Worst movie I have ever watched,0
This movie was terrible and boring,0
Worst movie I have ever watched,0
Completely waste of time,0
Terrible acting and bad screenplay,0
The storyline was weak and acting was bad,0
Awful movie with no good scenes,0
Very slow and uninteresting film,0
Awful movie with no good scenes,0
I really loved this film it was wonderful,1
I really loved this film it was wonderful,1
This movie was terrible and boring,0
The storyline was weak and acting was bad,0
The characters were very engaging and emotional,1
I really loved this film it was wonderful,1
Fantastic movie with a beautiful story,1
Great storyline and brilliant performances,1
Very slow and uninteresting film,0
A masterpiece with great acting and music,1
This movie was amazing and the acting was fantastic,1
This movie was amazing and the acting was fantastic,1
Worst movie I have ever watched,0
This movie was amazing and the acting was fantastic,1
One of the best movies I have ever watched,1
Fantastic movie with a beautiful story,1
Great storyline and brilliant performances,1
Awful movie with no good scenes,0
The movie had poor direction and editing,0
A masterpiece with great acting and music,1
I regret watching this movie,0
The movie had poor direction and editing,0
Highly recommended movie for everyone,1
I hated this film it was very disappointing,0
The storyline was weak and acting was bad,0
This movie was terrible and boring,0
I really loved this film it was wonderful,1
Worst movie I have ever watched,0
Fantastic movie with a beautiful story,1
This movie was terrible and boring,0
The storyline was weak and acting was bad,0
I regret watching this movie,0
A masterpiece with great acting and music,1
This movie was amazing and the acting was fantastic,1
This movie was terrible and boring,0
Fantastic movie with a beautiful story,1
Very slow and uninteresting film,0
This movie was amazing and the acting was fantastic,1
The movie had poor direction and editing,0
This movie was terrible and boring,0
One of the best movies I have ever watched,1
Great storyline and brilliant performances,1
One of the best movies I have ever watched,1
Completely waste of time,0
Highly recommended movie for everyone,1
I hated this film it was very disappointing,0
Great storyline and brilliant performances,1
Absolutely loved the cinematography and direction,1
I hated this film it was very disappointing,0
Great storyline and brilliant performances,1
Great storyline and brilliant performances,1
The movie had poor direction and editing,0
Worst movie I have ever watched,0
I hated this film it was very disappointing,0
This movie was terrible and boring,0
This movie was terrible and boring,0
One of the best movies I have ever watched,1
I regret watching this movie,0
Highly recommended movie for everyone,1
I regret watching this movie,0
A masterpiece with great acting and music,1
I regret watching this movie,0
This movie was terrible and boring,0
This film was truly inspiring and enjoyable,1
A masterpiece with great acting and music,1
I really loved this film it was wonderful,1
This movie was terrible and boring,0
The storyline was weak and acting was bad,0
Awful movie with no good scenes,0
Absolutely loved the cinematography and direction,1
I really loved this film it was wonderful,1
The movie had poor direction and editing,0
I regret watching this movie,0
The storyline was weak and acting was bad,0
Worst movie I have ever watched,0
I regret watching this movie,0
The movie had poor direction and editing,0
The movie had poor direction and editing,0
Terrible acting and bad screenplay,0
A masterpiece with great acting and music,1
I really loved this film it was wonderful,1
Very slow and uninteresting film,0
One of the best movies I have ever watched,1
This movie was amazing and the acting was fantastic,1
I really loved this film it was wonderful,1
I regret watching this movie,0
A masterpiece with great acting and music,1
Highly recommended movie for everyone,1
I regret watching this movie,0
This movie was terrible and boring,0
Absolutely loved the cinematography and direction,1
This movie was terrible and boring,0
One of the best movies I have ever watched,1
Very slow and uninteresting film,0
Worst movie I have ever watched,0
One of the best movies I have ever watched,1
I regret watching this movie,0
Terrible acting and bad screenplay,0
Worst movie I have ever watched,0
I regret watching this movie,0
Great storyline and brilliant performances,1
The storyline was weak and acting was bad,0
Absolutely loved the cinematography and direction,1
Completely waste of time,0
This movie was amazing and the acting was fantastic,1
I really loved this film it was wonderful,1
I regret watching this movie,0
Very slow and uninteresting film,0
I regret watching this movie,0
One of the best movies I have ever watched,1
A masterpiece with great acting and music,1
Highly recommended movie for everyone,1
A masterpiece with great acting and music,1
I hated this film it was very disappointing,0
The characters were very engaging and emotional,1
Terrible acting and bad screenplay,0
The characters were very engaging and emotional,1
I hated this film it was very disappointing,0
This movie was terrible and boring,0
Fantastic movie with a beautiful story,1
This movie was terrible and boring,0
A masterpiece with great acting and music,1
This movie was amazing and the acting was fantastic,1
Terrible acting and bad screenplay,0
I really loved this film it was wonderful,1
I really loved this film it was wonderful,1
I hated this film it was very disappointing,0
Great storyline and brilliant performances,1
Fantastic movie with a beautiful story,1
I regret watching this movie,0
Great storyline and brilliant performances,1
The storyline was weak and acting was bad,0
The storyline was weak and acting was bad,0
The movie had poor direction and editing,0
Absolutely loved the cinematography and direction,1
Absolutely loved the cinematography and direction,1
